u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
317087679,321000275,0,28841384,unclassified,,20 mph,High Court Lane,True,,False,56.611154968570105,"LINESTRING (430571.3789831302 433247.4233540213, 430573.81067464425 433266.50976605713, 430576.1366881049 433303.8427200954)",,,,,
643933,10103026371,0,4371979,unclassified,1,20 mph,Briggate,True,,False,174.1234923800386,"LINESTRING (430249.147161967 433226.00978921726, 430242.28289429337 433248.50755589595, 430238.5065064707 433264.11575520586, 430234.6881711237 433283.17285618675, 430233.73650648294 433288.7632822802, 430233.1797954488 433293.3771329265, 430232.5812658048 433299.37038186507, 430231.67532320594 433315.252977371, 430229.72355401184 433345.21480029635, 430229.79719415295 433356.2859941389, 430229.85086735326 433364.3195655921, 430229.86358125164 433373.5990248292, 430229.8647922374 433375.45713338815, 430229.8777137084 433386.7504638402, 430231.0826113823 433398.0959748912)",,,,,
301688528,9755805559,0,"[5947713, 438914194, 1060145079]",residential,2,20 mph,Kirkgate,False,,False,61.33221890048015,"LINESTRING (430427.1733672409 433459.378288385, 430418.3944224886 433465.184990244, 430415.2189691977 433467.27842489316, 430412.2893995715 433469.03966374975, 430398.5147398167 433477.2840948575, 430395.38656503515 433479.19982724905, 430389.76386874274 433482.83512548136, 430380.43124257296 433487.69257351384, 430373.9752989121 433489.7981876313)",,no,,,
301688528,9319419235,0,"[23161684, 38732655]",unclassified,,20 mph,"['New York Street', 'York Street']",True,,False,144.30974828451104,"LINESTRING (430427.1733672409 433459.378288385, 430438.6131451395 433457.70560610597, 430442.1934249006 433457.1836286988, 430463.7623748494 433455.83260534203, 430467.8415389269 433455.5809173668, 430492.2837428141 433454.0483985037, 430531.4875332985 433451.58835861366, 430534.03786626086 433451.42692326056, 430536.69359167624 433451.2661748169, 430543.8969646289 433451.74696252006, 430547.17599542195 433451.9685715588, 430550.0007390766 433452.15384760767, 430553.7132089725 433452.578556273, 430560.62718434655 433452.99072819133, 430571.35599327215 433451.2581100917)",,,,,
10103026371,10103026366,0,1262381332,unclassified,1,20 mph,Boar Lane,True,,False,11.14574381758225,"LINESTRING (430231.0826113823 433398.0959748912, 430223.7304901816 433397.16965845856, 430220.0240333335 433397.8467600177)",,yes,,,
643945,9823132,0,"[491178800, 491178801, 4371997]",trunk,2,30 mph,Regent Street,True,A61,False,196.5443943255206,"LINESTRING (430654.7644997555 433714.51774024265, 430664.3732195937 433726.86400795355, 430673.2780659119 433734.02080907824, 430676.6284141324 433736.40149250394, 430683.283212262 433741.1291875639, 430702.9655397974 433755.12133738084, 430722.18872869626 433768.79902814457, 430753.2875996627 433794.58219496533, 430760.90355538815 433801.3746783945, 430763.16278159746 433803.3922309164, 430773.827519425 433816.34647487616, 430786.12718213524 433833.09443329426, 430792.34001622227 433842.9041405497, 430795.89666391636 433848.9579676981)",,,,,
643945,6211583013,0,673667995,trunk,3,30 mph,Eastgate,True,A61,False,44.53501336833969,"LINESTRING (430654.7644997555 433714.51774024265, 430664.6750495093 433715.95101261255, 430671.19716437435 433714.7808480875, 430677.20940744644 433712.0051635371, 430679.7656700689 433709.90785963484, 430682.32852163824 433707.81060017634, 430686.5769601332 433701.7856262311, 430688.95439027826 433694.80268262466)",roundabout,,,,
9823132,3381506666,0,1277848490,tertiary,2,30 mph,New York Road,True,,False,10.239715867110888,"LINESTRING (430795.89666391636 433848.9579676981, 430805.71095217887 433845.9403615572)",,,,,
9823132,1591373192,0,1277848491,trunk,2,30 mph,Regent Street,True,A61,False,21.637339518553254,"LINESTRING (430795.89666391636 433848.9579676981, 430798.3825581023 433854.57084349135, 430803.6747728833 433869.15886701713)",,,,,
6211583013,26298420,0,845622687,trunk,3,30 mph,Eastgate,True,A61,False,7.875416512997927,"LINESTRING (430688.95439027826 433694.80268262466, 430689.21666127595 433686.92692864686)",roundabout,,,,
