osmid,y,x,street_count,highway,junction,geometry
52351597,433952.43785902683,430453.8281371764,4,,,POINT (430453.8281371764 433952.43785902683)
1743296736,433951.1493892735,430435.29524847656,4,,,POINT (430435.29524847656 433951.1493892735)
4621501025,433914.96327012277,430434.80534303916,3,,,POINT (430434.80534303916 433914.96327012277)
1743296708,433930.9425589071,430443.6661247153,4,,,POINT (430443.6661247153 433930.9425589071)
52638526,434653.6242232657,430371.7794575804,3,,,POINT (430371.7794575804 434653.6242232657)
250932750,434374.34614271333,430439.53897525015,3,,,POINT (430439.53897525015 434374.34614271333)
52677787,434363.77080849884,430488.4362290478,3,,,POINT (430488.4362290478 434363.77080849884)
52678050,434365.9719999344,430481.3024577117,3,,,POINT (430481.3024577117 434365.9719999344)
921270404,434328.4357864205,430570.89930881304,3,,,POINT (430570.89930881304 434328.4357864205)
13002467017,434314.85890893894,430471.24817031436,1,,,POINT (430471.24817031436 434314.85890893894)
52677997,434286.305495644,430568.29559601576,3,,,POINT (430568.29559601576 434286.305495644)
52678479,434288.27144564374,430525.0317641272,1,,,POINT (430525.0317641272 434288.27144564374)
52678468,434258.02255940053,430590.54343860835,1,turning_circle,,POINT (430590.54343860835 434258.02255940053)
52678071,434428.20250671904,430498.53538446594,1,,,POINT (430498.53538446594 434428.20250671904)
304904882,434272.6600300702,430793.97299492,3,,,POINT (430793.97299492 434272.6600300702)
52728502,434152.85919449676,429998.0006847547,5,,,POINT (429998.0006847547 434152.85919449676)
52732247,434145.54189985385,430002.0848528054,3,,,POINT (430002.0848528054 434145.54189985385)
342647088,434173.88859238906,429980.67613945133,3,,,POINT (429980.67613945133 434173.88859238906)
8663865756,434192.4808563031,429968.4979862636,4,,,POINT (429968.4979862636 434192.4808563031)
163639554,434230.9526222738,430006.31392108905,3,,,POINT (430006.31392108905 434230.9526222738)
3887608931,434100.1571343646,430019.4336304605,3,,,POINT (430019.4336304605 434100.1571343646)
4621500999,434350.9501580383,430207.48070942843,3,traffic_signals,,POINT (430207.48070942843 434350.9501580383)
52746882,434501.6460499078,430815.08625483257,3,,,POINT (430815.08625483257 434501.6460499078)
4621501070,433970.7935994705,429775.2676660803,3,,,POINT (429775.2676660803 433970.7935994705)
84481561,434332.717970339,430599.69857837894,3,,,POINT (430599.69857837894 434332.717970339)
921270409,434381.576668091,430600.124243775,1,,,POINT (430600.124243775 434381.576668091)
921270406,434350.62524355773,430612.39824063896,1,turning_circle,,POINT (430612.39824063896 434350.62524355773)
118610832,434068.185046162,430267.9855478685,3,,,POINT (430267.9855478685 434068.185046162)
250131780,434073.39808820223,430272.3516562416,3,,,POINT (430272.3516562416 434073.39808820223)
244150453,433696.28101958113,429788.7796525454,3,,,POINT (429788.7796525454 433696.28101958113)
8373170800,433593.73190697737,429766.35579882143,3,,,POINT (429766.35579882143 433593.73190697737)
244449799,433771.95632560935,430108.735589852,1,,,POINT (430108.735589852 433771.95632560935)
9405615106,433780.01471808366,430064.05160188745,3,crossing,,POINT (430064.05160188745 433780.01471808366)
1600382025,433941.3146133637,430034.67649810656,3,,,POINT (430034.67649810656 433941.3146133637)
249813619,433999.48992646066,430838.75558156107,3,,,POINT (430838.75558156107 433999.48992646066)
395471672,433995.39393579983,430872.380414761,3,,,POINT (430872.380414761 433995.39393579983)
250932738,434263.1701634489,430413.5992885628,3,,,POINT (430413.5992885628 434263.1701634489)
6336700462,434111.661644034,430189.4263316896,2,,,POINT (430189.4263316896 434111.661644034)
250214013,433189.9000163359,430182.70613491617,3,,yes,POINT (430182.70613491617 433189.9000163359)
340480304,433297.51938658056,430006.47717802215,3,,,POINT (430006.47717802215 433297.51938658056)
250349453,434323.50726408244,430903.94952662656,3,,,POINT (430903.94952662656 434323.50726408244)
13033491196,434314.7344919635,430898.09298753244,3,,,POINT (430898.09298753244 434314.7344919635)
304904888,434332.1109254798,430872.27977098053,3,,,POINT (430872.27977098053 434332.1109254798)
250853699,433914.182267401,429717.24947846634,3,,,POINT (429717.24947846634 433914.182267401)
