reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name
19J1054,2014-09-19,430350,433429,1612,2014,2014.csv,2014_19J1054,leeds_central_selected_box
19O0778,2014-09-24,429914,433490,1425,2014,2014.csv,2014_19O0778,leeds_central_selected_box
19T0743,2014-09-29,430646,433445,1125,2014,2014.csv,2014_19T0743,leeds_central_selected_box
1A21064,2014-10-02,430407,433684,1644,2014,2014.csv,2014_1A21064,leeds_central_selected_box
1A30971,2014-10-03,430790,433468,1550,2014,2014.csv,2014_1A30971,leeds_central_selected_box
1A40849,2014-10-04,430313,433457,849,2014,2014.csv,2014_1A40849,leeds_central_selected_box
1A50307,2014-10-05,430204,433920,409,2014,2014.csv,2014_1A50307,leeds_central_selected_box
1A60839,2014-10-03,429889,433412,1335,2014,2014.csv,2014_1A60839,leeds_central_selected_box
1AA1092,2014-10-10,430056,433473,1700,2014,2014.csv,2014_1AA1092,leeds_central_selected_box
1AB0359,2014-10-11,430429,433995,556,2014,2014.csv,2014_1AB0359,leeds_central_selected_box
1AI0900,2014-10-18,430641,433827,1405,2014,2014.csv,2014_1AI0900,leeds_central_selected_box
