editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Deryck Chan,145,0.75,0.5,0.002652519893899204,0.5,86,0.06004618937644342,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5492015963237497,0.09572072072072071,0.292111268822028,0.4146682193081408,79,lower
יונה בנדלאק,120,0.75,0.5,0.006631299734748011,0.5,82,0.05707584050039093,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5251601410365877,0.09121621621621621,0.27746398881549655,0.41307908806117544,80,lower
E4024,201,0.75,0.5,0.001326259946949602,0.5,76,0.050586510263929615,1,"{'Cycn': 1, 'Pütz M.': 2}",0.590759938380232,0.08445945945945946,0.24546403157322802,0.41302239643300886,81,lower
Jasper Deng,151,0.75,0.5,0.002652519893899204,0.5,81,0.054115853658536585,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5543568693195988,0.09009009009009009,0.26286780570790547,0.4129007467391641,82,lower
Addshore,135,0.75,0.5,0.001989389920424403,0.5,83,0.05641421947449768,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5401193972743421,0.09234234234234234,0.2742014264604152,0.412848153405057,83,lower
Infovarius,112,0.75,0.5,0.004641909814323607,0.5,82,0.05577376276512176,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5164042286889452,0.09121621621621621,0.2710432288392799,0.4119223764608975,84,lower
DannyS712,172,0.75,0.5,0.001989389920424403,0.5,71,0.05011219147344802,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5709221740862026,0.07882882882882883,0.2431250874200495,0.4114831239422803,85,lower
Richard Arthur Norton (1958- ),161,0.75,0.5,0.001989389920424403,0.5,72,0.04894578313253012,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5625128319739273,0.07995495495495496,0.23737333559415513,0.41088768185798447,86,lower
Ash Crow,112,0.75,0.5,0.003978779840848806,0.5,75,0.054945054945054944,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5164042286889452,0.08333333333333333,0.266956733955806,0.4107971374337407,87,lower
Hahc21,155,0.75,0.5,0.000663129973474801,0.5,76,0.04837490551776266,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5576818695424509,0.08445945945945946,0.2345582439595077,0.4106905776157388,88,lower
ديفيد عادل وهبة خليل 2,94,0.75,0.5,0.009946949602122016,0.5,76,0.05071315372424723,1,"{'Cycn': 1, 'Pütz M.': 2}",0.49419390845249334,0.08445945945945946,0.24608853135479353,0.4099494578567347,89,lower
1997kB,116,0.75,0.5,0.004641909814323607,0.5,63,0.04496124031007752,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5208570363068865,0.06981981981981981,0.2177248980355203,0.407339460661967,90,lower
