editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Nikola Tulechki,1,0.05712685614512503,1.0,4
Olyon01,1,0.05712685614512503,1.0,4
Runner1928,1,0.05712685614512503,1.0,4
Suruena,1,0.05712685614512503,1.0,4
TED,1,0.05712685614512503,1.0,4
Troppes,1,0.05712685614512503,1.0,4
Yachty4000,1,0.05712685614512503,1.0,4
Yarl,1,0.05712685614512503,1.0,4
2001:7D0:81F7:B580:1C97:842B:5D5A:38E3,1,0.05712685614512503,1.0,3
2001:7D0:81F7:B580:5801:674D:B5E2:CB9E,1,0.05712685614512503,1.0,3
2001:7D0:81F7:B580:E45E:E230:4E9F:7428,1,0.05712685614512503,1.0,3
